name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Atbasar kazakhstan,2018-11-01,-1,-9.3,-4.1,-1.2,-13.3,-8.3,-7,80.6,0.6,100,4.17,"rain,snow",0.9,1.1,36,19.8,259.3,1037.7,93.1,16.7,37.3,3.3,2,,2018-11-01T08:20:18,2018-11-01T17:59:12,0.77,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2018-11-02,-0.4,-3.3,-1.7,-3.5,-10.1,-7.3,-5.1,77.7,0.7,100,4.17,snow,0,1.2,57.6,43.2,240.8,1035.8,91.9,20,32.8,2.9,2,,2018-11-02T08:22:05,2018-11-02T17:57:23,0.81,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2018-11-03,1.9,-1.1,0.6,-0.6,-7.8,-3.2,-1.5,86.3,0.5,100,16.67,"rain,snow",0.4,0.7,36,28.8,290.3,1031.4,95,20,29.9,2.5,1,,2018-11-03T08:23:53,2018-11-03T17:55:35,0.84,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"35078099999,remote"
Atbasar kazakhstan,2018-11-04,2.7,-1.2,0.9,0.4,-5.2,-2.7,-1.6,83.6,0,0,0,,0,0.1,43.2,36,225,1033.3,89.1,20,45.1,3.9,3,,2018-11-04T08:25:40,2018-11-04T17:53:49,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2018-11-05,4.4,0.9,2.3,-0.4,-5.9,-3.1,-0.3,83.4,0.3,100,12.5,rain,0,0.2,47.9,43.2,223.7,1022.1,99.9,20,43.6,3.7,2,,2018-11-05T08:27:27,2018-11-05T17:52:04,0.91,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"35078099999,remote"
Atbasar kazakhstan,2018-11-06,2.6,-1.2,0.6,-0.9,-3.8,-2.4,-1.3,87.2,0.8,100,8.33,"rain,snow",0,1.6,28.1,21.6,326.1,1022.7,95.2,20,33.5,2.9,2,,2018-11-06T08:29:15,2018-11-06T17:50:22,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"35078099999,remote"
Atbasar kazakhstan,2018-11-07,1.4,-2.3,-0.6,-0.8,-7.2,-4.1,-3.8,79.2,0,0,0,,0,1.6,32,28.8,269.8,1021.6,96.7,20,53.4,4.5,2,,2018-11-07T08:31:02,2018-11-07T17:48:41,0,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2018-11-08,0.9,-1.1,0.1,-3.4,-7.9,-5.2,-1.9,86.2,2.6,100,33.33,"rain,snow",0.4,1.3,49.3,36,246.8,1013.6,98.9,16,18.6,1.8,1,,2018-11-08T08:32:49,2018-11-08T17:47:02,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2018-11-09,1.3,-16.1,-8.1,-3.2,-22.6,-14.9,-12.5,71.5,2.4,100,8.33,"rain,snow",0.5,1.8,38.9,28.8,1.1,1023.5,73.8,20,64.5,5.7,3,,2018-11-09T08:34:36,2018-11-09T17:45:25,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2018-11-10,-9.6,-19.3,-14.3,-15.3,-25,-19.9,-18.7,70.1,0,0,0,snow,2,1.7,26.3,21.6,9.1,1033.2,28.9,20,67,5.7,3,,2018-11-10T08:36:23,2018-11-10T17:43:49,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
