name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Atbasar kazakhstan,2020-11-01,9.7,-3.1,1.7,7.6,-6.2,-0.6,-3,73.8,0,0,0,,0,0,21.6,18,209.1,1027.9,73.1,20,64.3,5.7,3,,2020-11-01T08:21:14,2020-11-01T17:58:16,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-02,2.4,-1.6,0.7,0.3,-4.4,-2.7,-2.2,81,0,0,0,,0,0.3,30.2,18,44.8,1030.7,87.7,20,50.3,4.4,2,,2020-11-02T08:23:02,2020-11-02T17:56:28,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-03,0.6,-3.4,-1,-2.8,-5.9,-4.3,-4.3,79,0,0,0,,0,0.1,31.3,21.6,329.3,1033.1,78.4,20,40.3,3.5,2,,2020-11-03T08:24:49,2020-11-03T17:54:41,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-04,2.4,-8.1,-2.7,-1.3,-11.9,-6.5,-5.6,81,0,0,0,,0,0.2,28.4,18,249.2,1037.5,35.5,12,69.5,5.9,3,,2020-11-04T08:26:36,2020-11-04T17:52:55,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-05,7.6,-4.1,1,4.6,-10.7,-3.4,-5.4,64.9,0,0,0,,0,0.3,34.9,25.2,227.4,1030.3,33.9,27.5,71.7,6.2,3,,2020-11-05T08:28:24,2020-11-05T17:51:12,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-06,10.2,0.9,3.7,10.2,-3.2,0.6,-4.6,56.5,0,0,0,,0,0.3,26.3,21.6,208.3,1024,73.8,20,56.1,4.7,3,,2020-11-06T08:30:11,2020-11-06T17:49:30,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-07,10.7,-1.6,3.7,10.7,-7,-0.1,-5.5,52.6,0.5,100,4.17,rain,0,0.3,39.6,28.8,177.3,1012.9,85.3,20,57.4,5,2,,2020-11-07T08:31:58,2020-11-07T17:47:50,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"35078099999,remote"
Atbasar kazakhstan,2020-11-08,6.4,2.1,4.4,3.5,-4.3,-0.3,1.2,80.7,2,100,4.17,rain,0,0.1,57.2,54,219,1002.7,88.9,13.3,35.5,3,2,,2020-11-08T08:33:45,2020-11-08T17:46:12,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"35078099999,remote"
Atbasar kazakhstan,2020-11-09,2.6,0.3,1.3,-2.2,-7.4,-4.7,-0.4,89.1,0.8,100,8.33,"rain,snow",1.1,1.3,72,46.8,225.2,1006.4,96.1,14,17.2,1.6,1,,2020-11-09T08:35:32,2020-11-09T17:44:36,0.8,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-10,1.3,-4.4,-2,-2.7,-11.2,-7.5,-4.2,85.1,1,100,8.33,"rain,snow",0,2.1,43.6,28.8,232.7,1014.4,43.2,20,63.3,5.5,3,,2020-11-10T08:37:19,2020-11-10T17:43:02,0.83,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"35078099999,remote"
Atbasar kazakhstan,2020-11-11,-1.5,-4.1,-2.8,-6.6,-11.9,-8.7,-5.3,83.1,0.2,100,4.17,snow,0,2.9,57.6,46.8,234.4,1009.5,81.6,20,54.1,4.6,3,,2020-11-11T08:39:05,2020-11-11T17:41:30,0.86,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-12,-2.4,-6.4,-4.5,-5.2,-11.7,-7.6,-6.8,83.6,0.2,100,4.17,snow,0.1,3,31.7,18,254,1015.6,91.8,20,50.9,4.3,2,,2020-11-12T08:40:51,2020-11-12T17:40:00,0.9,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-13,-3.4,-8.8,-5.9,-10.4,-17,-12.9,-7.8,86.3,1.3,100,8.33,snow,0,3.4,51.1,32.4,221.6,1021.2,76.7,10.7,43.3,3.7,2,,2020-11-13T08:42:36,2020-11-13T17:38:32,0.93,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-14,-4.5,-8,-5.9,-9.1,-14.5,-11.1,-7.7,87.1,0.9,100,8.33,snow,1.3,4.4,33.8,21.6,199.7,1016.6,97,4.7,41,3.6,2,,2020-11-14T08:44:21,2020-11-14T17:37:06,0.97,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-15,-7.1,-11.7,-8.4,-11.2,-18.6,-15,-10.3,85.7,1.3,100,8.33,snow,1.7,5.8,34.6,28.8,358,1020,96.5,2,33.5,2.7,2,,2020-11-15T08:46:06,2020-11-15T17:35:43,0,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-16,-10.3,-17.9,-13.4,-18.6,-25.2,-21.1,-15.9,80.9,1.2,100,8.33,snow,0,7.1,37.1,25.2,335.8,1031.5,91.8,20,47.7,4,2,,2020-11-16T08:47:49,2020-11-16T17:34:22,0.03,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-17,-15.4,-21.1,-17.7,-21.3,-29.7,-24.8,-20.5,78.8,0,0,0,snow,6,6.8,19.1,18,322.2,1043.4,94.5,20,50.5,4.4,2,,2020-11-17T08:49:32,2020-11-17T17:33:04,0.07,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-11-18,-10.9,-20.1,-14.9,-16.5,-27.6,-20.8,-17.6,79.8,0,0,0,,0,6,20.5,14.4,275.4,1042.1,91.5,20,54.2,4.7,3,,2020-11-18T08:51:15,2020-11-18T17:31:47,0.1,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-11-19,-7,-10.8,-8.4,-12.2,-17.7,-14.5,-10.4,85.4,0,0,0,,0,5.9,24.5,21.6,236.6,1041.6,96.8,20,28.2,2.4,1,,2020-11-19T08:52:56,2020-11-19T17:30:34,0.13,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-11-20,-7.3,-14.3,-9.2,-12.5,-21.8,-15.7,-11.5,83.6,0,0,0,,0,5.7,28.4,21.6,217.4,1044,61.4,17.5,51.4,4.4,3,,2020-11-20T08:54:37,2020-11-20T17:29:23,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-21,-10.5,-18.1,-15.4,-16.5,-26.6,-22.5,-18.3,78.5,0,0,0,,0,5.6,22.3,18,223.6,1043.5,0,20,57.4,4.9,3,,2020-11-21T08:56:16,2020-11-21T17:28:14,0.2,Clear,Clear conditions throughout the day.,clear-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-22,-9.7,-19.6,-14.9,-13.2,-25.5,-19.4,-17.8,78.7,0,0,0,,0,5.6,16.9,11.2,344.7,1039,75.8,20,51.5,4.4,3,,2020-11-22T08:57:55,2020-11-22T17:27:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-23,-5.8,-17.9,-12.2,-10.5,-25.1,-17.1,-14.5,83.3,0,0,0,,0,5.9,17.3,10.8,61.2,1037.7,86.2,17.5,53.4,4.5,3,,2020-11-23T08:59:32,2020-11-23T17:26:05,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-24,-5.8,-9.6,-7.3,-9.3,-13.1,-11.1,-8.8,88.5,0,0,0,,0,6.1,18.4,10.8,111.2,1036.8,88.7,16.7,30.8,2.6,1,,2020-11-24T09:01:09,2020-11-24T17:25:05,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-25,-6.6,-15.3,-11.2,-11.6,-23.2,-17.8,-13.5,83.2,0.5,100,8.33,snow,0,6,29.5,16.2,115.8,1035.7,97.6,20,31.3,2.6,2,,2020-11-25T09:02:44,2020-11-25T17:24:08,0.33,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-26,-12,-19.5,-15.6,-18.1,-26.9,-22.4,-18.4,79.2,0,0,0,,0,6,24.8,14.4,112.9,1034.2,57.1,20,50.2,4.3,3,,2020-11-26T09:04:17,2020-11-26T17:23:13,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-11-27,-7.4,-15.3,-10.4,-11.3,-21.9,-15.6,-12.9,81.9,0.4,100,16.67,snow,0,6,18.4,11.2,108,1030,98.6,23.3,29.6,2.4,1,,2020-11-27T09:05:49,2020-11-27T17:22:21,0.4,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-28,-5.6,-13.5,-8.8,-9.6,-20.9,-15.2,-11.1,83.8,2.6,100,8.33,snow,2.3,8,33.8,28.8,17.5,1030.1,100,2.7,20.7,1.8,1,,2020-11-28T09:07:20,2020-11-28T17:21:33,0.43,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-29,-12.1,-18.8,-14.8,-20.1,-28.2,-23.2,-17.8,78.2,4,100,4.17,snow,13,11.1,29.2,36,324.3,1044.6,89.3,20,43.3,3.9,2,,2020-11-29T09:08:48,2020-11-29T17:20:47,0.46,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-11-30,-14.4,-23.7,-18.9,-15.1,-31.3,-24.8,-21.4,80.5,0,0,0,,0,11.9,15.1,18,15.6,1051,86.1,20,46.6,4,2,,2020-11-30T09:10:15,2020-11-30T17:20:05,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-12-01,-17.6,-24.8,-21,-26.7,-33.4,-29.6,-23.9,77.4,0,0,0,,0,12.1,30.2,18,64.2,1052,93.3,20,41.7,3.7,2,,2020-12-01T09:11:41,2020-12-01T17:19:25,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-12-02,-12.6,-21.9,-17.2,-19.8,-29.1,-25.3,-20,78.4,0,0,0,,0,12.4,37.8,20.9,75.7,1044.8,94.7,20,33.1,2.6,2,,2020-12-02T09:13:04,2020-12-02T17:18:49,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-12-03,-14.8,-20.3,-16.9,-22.5,-29.7,-26.1,-20.3,75.2,0,0,0,,0,12.8,34.9,28.8,69,1035.5,94.1,20,32.8,2.8,2,,2020-12-03T09:14:26,2020-12-03T17:18:16,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-12-04,-14.1,-23.8,-19.1,-22.1,-32.5,-27.8,-22.4,75.3,0,0,0,,0,12.9,30.6,21.6,40.5,1035.3,88.2,20,37.1,3.2,2,,2020-12-04T09:15:45,2020-12-04T17:17:46,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2020-12-05,-11.6,-18.5,-15.8,-18.6,-26.8,-24.2,-18.7,77.9,0,0,0,,0,13,35.6,21.6,52.6,1039.9,94.1,20,38.5,3.3,2,,2020-12-05T09:17:02,2020-12-05T17:17:20,0.67,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-12-06,-16.2,-25,-19.7,-17.3,-31.5,-25.7,-22.6,77.8,0,0,0,,0,12.9,22.7,12.6,31.8,1043.4,91,20,29.2,2.5,2,,2020-12-06T09:18:17,2020-12-06T17:16:56,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-12-07,-16.9,-23.4,-20.3,-19.5,-30.1,-25.3,-23,79.5,0,0,0,,0,12.5,19.4,14.4,231.9,1039.5,92.3,7.3,34.3,2.8,2,,2020-12-07T09:19:29,2020-12-07T17:16:36,0.74,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-12-08,-11.6,-21.5,-16.2,-18.2,-29.3,-24.1,-19.1,77.8,0.3,100,4.17,snow,0.2,12.2,36,28.8,231.9,1034.8,73.4,20,31.7,2.7,2,,2020-12-08T09:20:40,2020-12-08T17:16:20,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-12-09,-8.5,-12.1,-9.9,-11.7,-18.2,-14.2,-12,84.8,0.4,100,16.67,snow,0.1,13,19.4,14.4,258.6,1033.1,95.1,8.3,19.8,1.8,1,,2020-12-09T09:21:47,2020-12-09T17:16:07,0.81,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-12-10,-6.1,-8.6,-7.2,-7.9,-12.2,-10.4,-9.1,86.5,0.7,100,4.17,snow,0,13.4,16.9,14.4,288,1036.4,94.9,9.3,25.9,2.1,1,,2020-12-10T09:22:52,2020-12-10T17:15:57,0.84,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2020-12-11,-5.9,-8.9,-7,-5.9,-13.5,-9.6,-8.8,86.6,0,0,0,snow,12,13.2,14.8,14.4,297.2,1043.3,99.4,20,24.6,2.1,1,,2020-12-11T09:23:55,2020-12-11T17:15:51,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"35078099999,remote"
Atbasar kazakhstan,2020-12-12,-9.3,-16.4,-11.8,-14.1,-21.6,-17.5,-13.7,85.8,0,0,0,,0,12.9,22.7,14.4,276.8,1042.9,87.6,20,27.6,2.4,1,,2020-12-12T09:24:54,2020-12-12T17:15:48,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
